City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Philippe,RE,2022-10-12 21:10:26,-21.3585,55.7679,69.39,77,38,11.1
68,Margate,GB,2022-10-12 21:10:26,51.3813,1.3862,56.88,81,100,3.0
69,Lorengau,PG,2022-10-12 21:08:36,-2.0226,147.2712,79.41,75,87,2.62
70,Sola,VU,2022-10-12 21:10:27,-13.8833,167.55,79.97,75,54,12.21
71,Port Elizabeth,ZA,2022-10-12 21:10:28,-33.918,25.5701,66.09,94,100,11.07
72,Kruisfontein,ZA,2022-10-12 21:06:59,-34.0033,24.7314,63.88,94,100,3.98
73,Comodoro Rivadavia,AR,2022-10-12 21:09:14,-45.8667,-67.5,51.66,22,40,23.02
74,Ribeira Grande,PT,2022-10-12 21:10:28,38.5167,-28.7,72.77,84,6,5.01
75,Yumen,CN,2022-10-12 21:10:29,40.2833,97.2,46.33,33,100,20.13
76,Alyangula,AU,2022-10-12 21:10:29,-13.8483,136.4192,81.14,79,40,6.98
77,Sajkas,RS,2022-10-12 21:10:30,45.2722,20.0897,59.02,91,77,3.44
78,Torbay,CA,2022-10-12 21:05:40,47.6666,-52.7314,52.75,75,75,5.75
79,Mahebourg,MU,2022-10-12 21:05:54,-20.4081,57.7,71.26,67,48,14.54
80,Ucluelet,CA,2022-10-12 21:10:31,48.9329,-125.5528,63.09,70,6,1.36
81,Tasiilaq,GL,2022-10-12 21:10:31,65.6145,-37.6368,30.36,93,100,4.05
82,Purpe,RU,2022-10-12 21:10:32,64.4803,76.6897,37.45,87,100,8.86
83,Qaanaaq,GL,2022-10-12 21:06:39,77.484,-69.3632,6.6,64,7,7.43
84,Beloha,MG,2022-10-12 21:07:25,-25.1667,45.05,69.42,82,0,5.12
85,Provideniya,RU,2022-10-12 21:07:01,64.3833,-173.3,26.71,68,0,4.47
86,Verkhoyansk,RU,2022-10-12 21:10:33,67.5447,133.385,-4.18,100,88,1.97
87,Vaini,TO,2022-10-12 21:08:40,-21.2,-175.2,74.28,69,100,7.27
88,Castro,BR,2022-10-12 21:11:34,-24.7911,-50.0119,63.66,93,94,5.95
89,Longyearbyen,SJ,2022-10-12 21:07:53,78.2186,15.6401,35.44,75,75,2.3
90,Arraial Do Cabo,BR,2022-10-12 21:11:34,-22.9661,-42.0278,73.26,88,75,9.22
91,Rincon,US,2022-10-12 21:11:35,32.296,-81.2354,76.96,87,100,1.01
92,Kavaratti,IN,2022-10-12 21:11:35,10.5669,72.642,80.87,77,76,7.83
93,Anadyr,RU,2022-10-12 21:07:42,64.75,177.4833,16.3,86,0,6.71
94,Atasu,KZ,2022-10-12 21:11:36,48.6814,71.6433,47.88,28,66,6.53
95,Ahome,MX,2022-10-12 21:07:02,25.9167,-109.1833,91.35,36,2,12.53
96,Puerto Ayora,EC,2022-10-12 21:07:14,-0.7393,-90.3518,71.56,86,87,8.99
97,Soyo,AO,2022-10-12 21:11:37,-6.1349,12.3689,77.05,82,37,10.07
98,Boulder City,US,2022-10-12 21:07:17,35.9786,-114.8325,89.78,15,0,9.22
99,Jamestown,US,2022-10-12 21:04:17,42.097,-79.2353,69.39,66,40,12.66
100,Gorgan,IR,2022-10-12 21:11:38,36.8387,54.4348,69.01,80,86,1.34
101,Wajima,JP,2022-10-12 21:11:39,37.4,136.9,61.79,68,2,13.47
102,Lata,PT,2022-10-12 21:11:39,40.1629,-8.3327,66.92,91,4,1.34
103,East London,ZA,2022-10-12 21:11:40,-33.0153,27.9116,69.03,89,100,12.66
104,Hithadhoo,MV,2022-10-12 21:07:18,-0.6,73.0833,79.09,81,93,13.2
105,Bredasdorp,ZA,2022-10-12 21:05:40,-34.5322,20.0403,59.63,97,100,2.95
106,Hermanus,ZA,2022-10-12 21:07:11,-34.4187,19.2345,62.8,91,100,6.71
107,Chuy,UY,2022-10-12 21:07:17,-33.6971,-53.4616,64.26,64,0,5.32
108,Mount Pleasant,US,2022-10-12 21:07:13,32.7941,-79.8626,78.31,76,100,9.22
109,Tomatlan,MX,2022-10-12 21:11:41,19.9333,-105.25,88.79,54,74,7.58
110,Alice Springs,AU,2022-10-12 21:11:42,-23.7,133.8833,56.75,72,75,9.22
111,Qingdao,CN,2022-10-12 21:11:42,36.0986,120.3719,59.92,59,8,1.36
112,Vao,NC,2022-10-12 21:11:43,-22.6667,167.4833,70.79,72,12,19.3
113,Saskylakh,RU,2022-10-12 21:05:51,71.9167,114.0833,20.21,97,98,2.98
114,Bathsheba,BB,2022-10-12 21:11:44,13.2167,-59.5167,84.81,74,40,14.97
115,Andenes,NO,2022-10-12 21:11:44,69.3143,16.1194,41.94,75,75,10.36
116,Avarua,CK,2022-10-12 21:07:03,-21.2078,-159.775,78.85,83,75,16.11
117,Ketchikan,US,2022-10-12 21:10:11,55.3422,-131.6461,57.67,72,75,8.05
118,Cidreira,BR,2022-10-12 21:07:02,-30.1811,-50.2056,62.47,87,87,9.53
119,Paita,PE,2022-10-12 21:11:46,-5.0892,-81.1144,67.48,74,9,18.84
120,Kapaa,US,2022-10-12 21:08:41,22.0752,-159.319,84.18,77,0,6.91
121,Estevan,CA,2022-10-12 21:08:25,49.1334,-102.9842,52.14,20,0,42.57
