Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
95,Iralaya,HN,83.88,light rain,15.0,-83.2333,Iglesia morava renovada
96,Gizo,SB,82.15,broken clouds,-8.103,156.8419,Imagination Island
97,Half Moon Bay,US,66.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
98,Svetlogorsk,BY,52.57,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
100,Samarai,PG,80.64,scattered clouds,-10.6167,150.6667,Nuli Sapi
101,Hilo,US,85.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
102,Butaritari,KI,80.22,light rain,3.0707,172.7902,Isles Sunset Lodge
103,Jasper,US,50.9,clear sky,37.2001,-94.3502,Guest House Motel
104,Bayeux,BR,84.83,scattered clouds,-7.125,-34.9322,Infinity Motel
105,Ambilobe,MG,71.91,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
106,Korcula,HR,69.44,broken clouds,42.9622,17.1369,Marko Polo Hotel by Aminess
107,Geraldton,AU,54.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
108,Nybro,SE,54.41,light rain,56.7446,15.9071,Stora Hotellet I Nybro
109,Kemin,KG,49.96,overcast clouds,42.7846,75.6892,Hotel Kok-Oirok
110,Baturaja,ID,74.53,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
111,Mango,US,88.25,broken clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
112,Jamestown,US,48.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
114,Surt,LY,74.16,few clouds,31.2089,16.5887,فندق المدينة
117,Mount Gambier,AU,45.21,overcast clouds,-37.8333,140.7667,The Commodore
119,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Saint-Denis,FR,64.15,mist,48.9167,2.3333,ibis budget Paris Porte de Montmartre
122,Cidreira,BR,65.34,scattered clouds,-30.1811,-50.2056,Hotel Castelo
123,Ostrovnoy,RU,45.81,overcast clouds,68.0531,39.5131,
125,Anamur,TR,74.12,overcast clouds,36.0751,32.8369,Luna Piena Beach Hotel
126,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
127,Gerash,IR,84.34,clear sky,27.6652,54.1371,Sa'adat House Gerash
128,Katsuura,JP,71.46,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
132,Tautira,PF,76.41,light rain,-17.7333,-149.15,Pension Oaoa
133,Belyy Yar,RU,48.09,clear sky,53.6039,91.3903,Pasportnyy Stol
134,Victoria,HK,80.65,overcast clouds,22.2855,114.1577,Mini Central
135,Ginda,IN,52.9,clear sky,30.6945,78.4932,Bhandari hi tech plant nursary.
136,Bonthe,SL,81.14,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
137,Vila Franca Do Campo,PT,64.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
138,Hobart,AU,45.05,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
140,Torbay,CA,61.39,light rain,47.6666,-52.7314,Gallows Cove
142,Tarut,SA,87.12,clear sky,26.5733,50.0369,سطحة لسحب ونقل السيارات
143,Husum,DE,59.11,overcast clouds,54.4858,9.0524,Best Western Plus Theodor Storm Hotel
144,Edson,CA,57.56,few clouds,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
145,Bandarbeyla,SO,78.28,clear sky,9.4942,50.8122,JABIR HOTEL
146,Galle,LK,77.4,overcast clouds,6.0367,80.217,Amangalla
147,Bac Lieu,VN,76.84,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
148,Torata,PE,70.02,scattered clouds,-17.0769,-70.8433,Lodging Sra. Tina Vera
150,Westport,US,65.55,broken clouds,41.1415,-73.3579,The Westport Inn
151,Fort Smith,US,57.34,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
152,Saint-Joseph,RE,71.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
153,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
155,Huancavelica,PE,53.82,scattered clouds,-12.7667,-74.9833,Hotel Victoria Huancavelica
157,Hambantota,LK,79.86,overcast clouds,6.1241,81.1185,Bungalow 63
158,Kibaha,TZ,74.55,broken clouds,-6.7667,38.9167,GOODJANETH GARDEN RESORT
159,Laguna,US,69.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
160,Arequipa,PE,66.27,clear sky,-16.3989,-71.535,Casa de Avila Hotel
162,Serenje,ZM,72.81,few clouds,-13.2325,30.2352,The Kabaso's
163,Kati,ML,83.86,broken clouds,12.7441,-8.0726,Lingot d’or
165,Cuprija,RS,55.47,few clouds,43.9275,21.37,Duo Pro Apartments
166,Gweta,BW,85.26,overcast clouds,-20.1833,25.2333,Gweta Lodge
167,Yamandu,SL,81.09,light rain,7.9362,-11.4928,
168,Gazli,UZ,66.15,scattered clouds,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
170,Camacha,PT,72.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
171,Berlevag,NO,46.35,broken clouds,70.8578,29.0864,Kvitbrakka
173,Portland,US,60.1,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
174,Roald,NO,51.75,few clouds,62.5833,6.1333,Flem Cabins
175,Coihaique,CL,70.41,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
176,Emerald,AU,70.34,few clouds,-23.5333,148.1667,The Irish Village
177,Almazar,UZ,62.02,overcast clouds,40.3217,69.0106,
178,Dunmore Town,BS,81.07,clear sky,25.5,-76.65,Coral Sands Hotel
179,Kipini,KE,77.29,clear sky,-2.5257,40.5262,Delta Sea Mall
180,Hanna,CA,51.85,clear sky,51.6334,-111.9018,West View Motel
182,Isiro,CD,68.09,overcast clouds,2.7739,27.616,Guest House Hewa Bora
184,Derzhavinsk,KZ,45.34,overcast clouds,51.1,66.3167,Ooo.khim Baza
187,Sarangani,PH,83.59,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
188,Lang Son,VN,66.61,broken clouds,21.8333,106.7333,Khai Nga Hotel
196,Marienburg,PL,65.88,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
198,Cartagena,CO,83.82,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
199,Namibe,AO,69.21,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
200,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
203,Mancheral,IN,77.14,broken clouds,18.8667,79.4333,Hotel Vaibhav
204,El Tarra,CO,83.66,overcast clouds,8.5756,-73.0949,Casa juvenil Sor Amanda Bedoya
205,Bilma,NE,88.21,clear sky,18.6853,12.9164,Expeditions Ténére voyages
206,Yokote,JP,49.98,overcast clouds,39.3,140.5667,Hotel Wellness Yokoteji
208,Alofi,NU,76.59,broken clouds,-19.0595,-169.9187,Taloa Heights
209,Mar Del Plata,AR,61.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
211,Sao Joao Da Barra,BR,76.86,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
213,Gigmoto,PH,80.04,light rain,13.7796,124.39,Cj's Travellers Inn
214,Lagoa,PT,61.48,light rain,39.05,-27.9833,Casa Das Faias
215,Hudiksvall,SE,46.31,overcast clouds,61.729,17.1036,Best Western Hotell Hudik
216,Itapora,BR,86.86,light rain,-22.0799,-54.7874,Restaurante e Hotel Estrela de Ouro
218,Uchiza,PE,87.19,broken clouds,-8.4592,-76.4633,Hotel San Pedro
219,Edemissen,DE,70.16,light rain,52.387,10.2614,Hotel & Restaurant Schönau
220,Coahuayana,MX,87.6,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
222,Fortuna,US,60.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
223,Maragogi,BR,79.25,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
224,Abu Kamal,SY,87.8,broken clouds,34.4506,40.9171,البوكمال
225,Soyo,AO,78.82,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
226,Mitsamiouli,KM,75.96,scattered clouds,-11.3847,43.2844,Foyer ADM
227,Abinsk,RU,54.84,few clouds,44.8726,38.1611,Hotel Evropa
228,Kaeo,NZ,55.33,overcast clouds,-35.1,173.7833,Bushido Lodge
230,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
231,Sibolga,ID,76.68,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
233,Maturin,VE,87.64,broken clouds,9.75,-63.1767,"Residential Hotel ""La Pichincha"""
234,Broome,US,58.53,overcast clouds,42.2506,-75.833,Chenango Valley State Park
236,Potsdam,DE,74.1,broken clouds,52.3989,13.0657,Dorint Hotel Sanssouci Berlin/Potsdam
237,Ouadda,CF,70.93,scattered clouds,8.0777,22.4007,
238,Korla,CN,55.94,broken clouds,41.7597,86.1469,Gulisitan Hotel
239,Werota,ET,63.5,light rain,11.9167,37.7,Yina Hotel
240,Eyl,SO,79.02,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
241,Abha,SA,64.44,broken clouds,18.2164,42.5053,Abha Hotel
243,Parrita,CR,81.3,overcast clouds,9.5201,-84.3225,Beso del Viento
244,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,hotel la terminal
246,Missoula,US,55.53,few clouds,47.0166,-113.8009,Gold Creek Cabin
247,Lata,PT,76.5,scattered clouds,40.1629,-8.3327,Casa Maquia
248,Benguela,AO,76.03,broken clouds,-12.5763,13.4055,Hotel Praia Morena
249,Aitape,PG,77.41,overcast clouds,-3.1374,142.3475,
