City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Banda Aceh,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
82,Kodiak,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
83,Kiama,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
84,Batemans Bay,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
85,Tsihombe,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
86,Hovd,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
87,Ambilobe,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
88,Hithadhoo,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
89,Vaini,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
90,Kaeo,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
91,Hambantota,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
92,Sao Filipe,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
93,Taolanaro,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
94,Kapaa,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
95,Aksarayskiy,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
96,Narsaq,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
97,Aboso,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
98,Dikson,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
99,Stornoway,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
100,Leningradskiy,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
101,Zhigansk,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
102,Boende,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
103,Alta Floresta,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
104,Kibala,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
105,Margate,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
106,Saint-Denis,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
107,Nur,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
108,Nanortalik,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
109,Nioro,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
110,Olafsvik,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
111,Iqaluit,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
112,Mataura,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
113,Kampene,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
114,Albany,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
115,Gainesville,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
116,Hervey Bay,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
117,Guerrero Negro,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
118,Hamilton,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
119,Cherskiy,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
120,Adiake,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
121,Chuy,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
122,Najran,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
123,Molina,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
124,Lebu,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
125,Gizo,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
126,Saint-Augustin,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
127,Puerto Ayora,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
128,Mineros,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
129,Victoria,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
130,Acapulco,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
131,Sorland,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
132,Ibiuna,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
133,Akyab,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
134,Nueve De Julio,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
135,Inhambane,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
136,Padang,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
137,Port Alfred,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
138,Mys Shmidta,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
139,Saint George,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
140,Sao Felix Do Xingu,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
141,East London,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
142,Falam,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
143,Ponerihouen,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
144,Kavieng,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
145,Vila Velha,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
146,Savannah Bight,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
147,Kabompo,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
148,Santander,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
149,Nikolskoye,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
150,Santo Antonio Do Leverger,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
151,Mancio Lima,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
152,Port Keats,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
153,Kindersley,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
154,Jasper,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
155,Harmanli,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
156,Saskylakh,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
157,Constitucion,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
158,Opuwo,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
159,Yatou,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
160,Tashla,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
161,Roma,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
162,Nanakuli,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
163,Sapernoye,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
164,Zunheboto,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
165,Mpongwe,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
166,Soyo,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
167,Alekseyevka,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
168,Tuktoyaktuk,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
169,Ostrovnoy,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
170,Coquimbo,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
171,Bilibino,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
172,Atoyac,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
173,Kristiansund,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
174,Smithers,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
175,Sitka,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
176,Francia,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
177,Thunder Bay,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
178,Cabra,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
179,Mount Gambier,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
180,Bandarbeyla,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
181,Amderma,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
182,Necochea,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
183,Ilulissat,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
184,Ola,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
185,Rambouillet,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
186,Mpulungu,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
187,Save,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
188,Esmeraldas,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
189,Ribeira Grande,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
190,Grindavik,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
191,Nouadhibou,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
192,Sioux Lookout,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
193,Sambava,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
194,Itoman,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
195,Barawe,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
196,Baraboo,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
197,Sao Joao Da Barra,KZ,51.1801,71.446,33.75,75,0,8.95,clear sky
